"slug";"documento_referencia";"instrumento_objetivo";"tipo_relacion";"materia";"prioridad";"observaciones"
"ley_19979_jornada_escolar_completa";"Ley 19.979 - MODIFICA EL REGIMEN DE JORNADA ESCOLAR COMPLETA DIURNA Y OTROS CUERPOS LEGALES";"";"";"";"";""
"ley_20370_general_educacion";"Ley 20.370 - ESTABLECE LA LEY GENERAL DE EDUCACIÓN";"";"";"";"";""
"ley_20536_violencia_escolar";"Ley 20.536 - SOBRE VIOLENCIA ESCOLAR";"";"";"";"";""
"ley_20845_inclusion_escolar";"Ley 20.845 - DE INCLUSIÓN ESCOLAR QUE REGULA LA ADMISIÓN DE LOS Y LAS ESTUDIANTES, ELIMINA EL FINANCIAMIENTO COMPARTIDO Y PROHÍBE EL LUCRO EN ESTABLECIMIENTOS EDUCACIONALES QUE RECIBEN APORTES DEL ESTADO";"";"";"";"";""
"ley_20911_formacion_ciudadana";"Ley 20.911 - CREA EL PLAN DE FORMACIÓN CIUDADANA PARA LOS ESTABLECIMIENTOS EDUCACIONALES RECONOCIDOS POR EL ESTADO";"";"";"";"";""
"ley_21430_garantias_ninez";"Ley 21.430 - SOBRE GARANTÍAS Y PROTECCIÓN INTEGRAL DE LOS DERECHOS DE LA NIÑEZ Y ADOLESCENCIA";"";"";"";"";""
"ley_21545_tea";"Ley 21.545 - ESTABLECE LA PROMOCIÓN DE LA INCLUSIÓN, LA ATENCIÓN INTEGRAL, Y LA PROTECCIÓN DE LOS DERECHOS DE LAS PERSONAS CON TRASTORNO DEL ESPECTRO AUTISTA EN EL ÁMBITO SOCIAL, DE SALUD Y EDUCACIÓN";"";"";"";"";""
"ley_21801_celulares";"Ley 21.801 - MODIFICA LA LEY Nº 20.370, GENERAL DE EDUCACIÓN, CON EL OBJETO DE PROHIBIR Y REGULAR EL USO DE DISPOSITIVOS MÓVILES ELECTRÓNICOS DE COMUNICACIÓN PERSONAL EN ESTABLECIMIENTOS EDUCACIONALES";"";"";"";"";""
"ley_21809_convivencia_educativa";"Ley 21.809 - SOBRE CONVIVENCIA, BUEN TRATO Y BIENESTAR DE LAS COMUNIDADES EDUCATIVAS, CON EL OBJETIVO DE PREVENIR Y ERRADICAR EL ACOSO ESCOLAR, LA DISCRIMINACIÓN Y TODO TIPO DE VIOLENCIA EN LOS ESTABLECIMIENTOS EDUCACIONALES";"";"";"";"";""
"dfl_1_estatuto_asistentes_educacion";"Decreto con fuerza de ley 1 - FIJA TEXTO REFUNDIDO, COORDINADO Y SISTEMATIZADO DE LA LEY Nº 19.070 QUE APROBO EL ESTATUTO DE LOS PROFESIONALES DE LA EDUCACION, Y DE LAS LEYES QUE LA COMPLEMENTAN Y MODIFICAN";"";"";"";"";""
"dfl_315_perdida_reconocimiento_oficial";"Decreto con fuerza de ley 315 - REGLAMENTA REQUISITOS DE ADQUISICIÓN, MANTENCIÓN Y PÉRDIDA DEL RECONOCIMIENTO OFICIAL DEL ESTADO A LOS ESTABLECIMIENTOS EDUCACIONALES DE EDUCACIÓN PARVULARIA, BÁSICA Y MEDIA";"";"";"";"";""
"dto_24_consejos_escolares";"Decreto supremo 24 - REGLAMENTA CONSEJOS ESCOLARES";"";"";"";"";""
"dto_215_uniforme_escolar";"Decreto supremo 215 - REGLAMENTA USO DE UNIFORME ESCOLAR";"";"";"";"";""
"dto_453_estatuto_docente";"Decreto supremo 453 - APRUEBA REGLAMENTO DE LA LEY N° 19.070, ESTATUTO DE LOS PROFESIONALES DE LA EDUCACION";"";"";"";"";""
"dto_565_centros_padres_apoderados";"Decreto supremo 565 - APRUEBA REGLAMENTO GENERAL DE CENTROS DE PADRES Y APODERADOS   PARA    LOS    ESTABLECIMIENTOS     EDUCACIONALES RECONOCIDOS OFICIALMENTE POR EL MINISTERIO DE EDUCACION";"";"";"";"";""
"circular_193_estudiantes_embarazadas";"Circular 193";"";"";"";"";""
"circular_586_tea";"Circular 586";"";"";"";"";""
